Provider/Agency,Hosting Org,Street Address,City,State,Postal Code,"Location (Lat, Long)",Latitude,Longitude,NTA Code,NTA Name,Council Distrcit,Offer Wifi,Original Dataset,Add'l Info
LinkNYC - Citybridge,Unknown,74-39 JAMAICA AVENUE,Queens,New York,11421,"(40.6914500002, -73.866734)",40.69145,-73.866734,QN53,Woodhaven,30,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,35 3 AVENUE,New York,New York,10003,"(40.7302316504, -73.98926217)",40.73023165,-73.98926217,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Downtown Brooklyn,Unknown,162 Flatbush Ave. Extension (Pole),Brooklyn,New York,11201,"(40.6946929996, -73.9838490003)",40.694693,-73.983849,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
BPL,Unknown,25 4 AVENUE,Brooklyn,New York,11217,"(40.6834588325, -73.9785414755)",40.68345883,-73.97854148,BK37,Park Slope-Gowanus,39,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
LinkNYC - Citybridge,Unknown,50 LEXINGTON AVENUE,New York,New York,10010,"(40.7403098004, -73.9842789005)",40.7403098,-73.9842789,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,71st St Ball Field Center Area,Queens,New York,11379,"(40.7182240002, -73.8825239996)",40.718224,-73.882524,QN21,Middle Village,30,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,482 5 AVENUE,Brooklyn,New York,11215,"(40.6678730002, -73.9875089995)",40.667873,-73.987509,BK37,Park Slope-Gowanus,39,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3560 BROADWAY,New York,New York,10031,"(40.8271170004, -73.9497379999)",40.827117,-73.949738,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,200 E 87ST,New York,New York,10028,"(40.7793669997, -73.9533269996)",40.779367,-73.953327,MN32,Yorkville,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,131 2 AVENUE,New York,New York,10003,"(40.7284803901, -73.9878759201)",40.72848039,-73.98787592,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,Bay Ridge-95 St (R),Brooklyn,New York,11209,"(40.6166219996, -74.0308759998)",40.616622,-74.030876,BK31,Bay Ridge,43,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,445 5 AVENUE,Brooklyn,New York,11215,"(40.6690179999, -73.9863169995)",40.669018,-73.986317,BK37,Park Slope-Gowanus,39,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11365,"(40.7472600001, -73.8028599999)",40.74726,-73.80286,QN52,East Flushing,20,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,1755 RICHMOND ROAD,Staten Island,New York,10304,"(40.58738523, -74.1037082195)",40.58738523,-74.10370822,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,50,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3097 3 AVENUE,Bronx,New York,10451,"(40.8214369997, -73.9123269999)",40.821437,-73.912327,BX34,Melrose South-Mott Haven North,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
NYPL,Unknown,444 AMSTERDAM AVENUE,New York,New York,10024,"(40.7848346367, -73.9774521159)",40.78483464,-73.97745212,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,NYPL
ALTICEUSA,Unknown,W 15TH ST -5/P/S/O SURF AV,Brooklyn,New York,11224,"(40.5737390002, -73.9818939996)",40.573739,-73.981894,BK21,Seagate-Coney Island,47,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,1661 AMSTERDAM AVENUE,New York,New York,10031,"(40.8233610002, -73.9488440004)",40.823361,-73.948844,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2246 3 AVENUE,New York,New York,10035,"(40.8018986103, -73.9372890698)",40.80189861,-73.93728907,MN34,East Harlem North,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3480 FULTON STREET,Brooklyn,New York,11208,"(40.6851309404, -73.8667773299)",40.68513094,-73.86677733,BK83,Cypress Hills-City Line,37,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,86-43 LEFFERTS BOULEVARD,Queens,New York,11418,"(40.7001586499, -73.8309137005)",40.70015865,-73.8309137,QN54,Richmond Hill,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2901 3 AVENUE,Bronx,New York,10455,"(40.8171412003, -73.9162084399)",40.8171412,-73.91620844,BX34,Melrose South-Mott Haven North,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,43-02 30 AVENUE,Queens,New York,11103,"(40.76266328, -73.9125412895)",40.76266328,-73.91254129,QN70,Astoria,22,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,North side of Park off Canal St,Staten Island,New York,10304,"(40.6265790002, -74.076173)",40.626579,-74.076173,SI37,Stapleton-Rosebank,49,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,23 WEST BURNSIDE AVENUE,Bronx,New York,10453,"(40.8538810002, -73.9086619994)",40.853881,-73.908662,BX36,University Heights-Morris Heights,14,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2620 FREDERICK DOUGLAS BOULEVARD,New York,New York,10030,"(40.819549, -73.944183)",40.819549,-73.944183,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,670 8 AVENUE,New York,New York,10036,"(40.7575440004, -73.9894090003)",40.757544,-73.989409,MN17,Midtown-Midtown South,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Chelsea,Unknown,16th east of 10th Av,New York,New York,10011,"(40.7432415473, -74.0068030355)",40.74324155,-74.00680304,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,CICFreeWiFi
Harlem,Unknown,203 West 117 St. St. Nicholas Side _NYCHA,New York,New York,10026,"(40.8042789996, -73.9525329998)",40.804279,-73.952533,MN11,Central Harlem South,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
Transit Wireless,Unknown,"Fulton St (A,C,J,Z,2,3,4,5)",New York,New York,10038,"(40.7103679997, -74.0095089997)",40.710368,-74.009509,MN25,Battery Park City-Lower Manhattan,1,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,339 LIVINGSTON STREET,Brooklyn,New York,11217,"(40.6876489803, -73.9804235504)",40.68764898,-73.98042355,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,87-06 126 STREET,Queens,New York,11418,"(40.7010399999, -73.8247189998)",40.70104,-73.824719,QN54,Richmond Hill,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,741 FLATBUSH AVENUE,Brooklyn,New York,11226,"(40.6547043304, -73.9595678795)",40.65470433,-73.95956788,BK60,Prospect Lefferts Gardens-Wingate,40,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1722 AMSTERDAM AVENUE,New York,New York,10031,"(40.8254190002, -73.9476040006)",40.825419,-73.947604,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,CRC Center,New York,New York,10002,"(40.7200050002, -73.9814379995)",40.720005,-73.981438,MN28,Lower East Side,2,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
SPECTRUM,Unknown,Along Boardwalk and Beach,Staten Island,New York,10305,"(40.5764829999, -74.0796240005)",40.576483,-74.079624,SI36,Old Town-Dongan Hills-South Beach,50,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
ALTICEUSA,Unknown,GYM WALL,Brooklyn,New York,11213,"(40.6738050002, -73.9347849998)",40.673805,-73.934785,BK61,Crown Heights North,36,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Manhattan Down Alliance,Unknown,"16 Bond Street, New York, NY 10038, USA",New York,New York,10012,"(40.7051010003, -74.0026015994)",40.705101,-74.0026016,MN25,Battery Park City-Lower Manhattan,1,Free,NYC Wifi Hotspot Locations,#DwtwnAllianceFreeWiFi
Harlem,Unknown,Pole 70 - 5avWS1N130,New York,New York,10037,"(40.8098880004, -73.9390120002)",40.809888,-73.939012,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
QPL,Unknown,72-33 VLEIGH PLACE,Flushing,New York,11367,"(40.7259184856, -73.8207190696)",40.72591849,-73.82071907,QN37,Kew Gardens Hills,24,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
LinkNYC - Citybridge,Unknown,581B 3 AVENUE,New York,New York,10016,"(40.7482890004, -73.9761049995)",40.748289,-73.976105,MN20,Murray Hill-Kips Bay,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Beach 73 - Comfort Station and Beach,Queens,New York,11692,"(40.586556, -73.7998939995)",40.586556,-73.799894,QN12,Hammels-Arverne-Edgemere,31,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,178 BROADWAY,Brooklyn,New York,11211,"(40.7099000002, -73.9624400005)",40.7099,-73.96244,BK73,North Side-South Side,34,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,180 1 AVENUE,New York,New York,10009,"(40.72921987, -73.9839794499)",40.72921987,-73.98397945,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,632 NOSTRAND AVENUE,Brooklyn,New York,11216,"(40.6767519999, -73.9499350005)",40.676752,-73.949935,BK61,Crown Heights North,36,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,"Franklin Av (C,S)",Brooklyn,New York,11238,"(40.6813799998, -73.9568479999)",40.68138,-73.956848,BK69,Clinton Hill,36,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
Fiberless,Unknown,Nolan Building 1 Front,New York,New York,10004,"(40.6903199996, -74.0133099996)",40.69032,-74.01331,MN99,Governors Island,1,Free,NYC Wifi Hotspot Locations,Governors Island
QPL,Unknown,86-01 BROADWAY,Elmhurst,New York,11373,"(40.7385814574, -73.8767587664)",40.73858146,-73.87675877,QN29,Elmhurst,25,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
LinkNYC - Citybridge,Unknown,70 STANTON STREET,New York,New York,10002,"(40.7217730004, -73.9894209994)",40.721773,-73.989421,MN27,Chinatown,1,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,34-01 38 AVENUE,Queens,New York,11101,"(40.7522785196, -73.9290546296)",40.75227852,-73.92905463,QN68,Queensbridge-Ravenswood-Long Island City,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
NYPL,Unknown,455 5 AVENUE,New York,New York,10016,"(40.7518915617, -73.9816985108)",40.75189156,-73.98169851,MN20,Murray Hill-Kips Bay,4,Free,NYC Wifi Hotspot Locations,NYPL
SPECTRUM,Unknown,Outdoor - Park Area,Queens,New York,11433,"(40.7020569999, -73.7845289994)",40.702057,-73.784529,QN01,South Jamaica,27,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,110-72 QUEENS BLVD,Queens,New York,11375,"(40.7189530002, -73.8389760002)",40.718953,-73.838976,QN17,Forest Hills,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,"Sterling St (2,5)",Brooklyn,New York,11225,"(40.6627419999, -73.9508499995)",40.662742,-73.95085,BK60,Prospect Lefferts Gardens-Wingate,40,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,1329 3 AVENUE,New York,New York,10021,"(40.7723577698, -73.9585402195)",40.77235777,-73.95854022,MN31,Lenox Hill-Roosevelt Island,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,548 EAST 138 STREET,Bronx,New York,10454,"(40.8068195404, -73.9176573999)",40.80681954,-73.9176574,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,pole 65: 131NS1E7av,New York,New York,10027,"(40.8124179999, -73.9446890005)",40.812418,-73.944689,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,400 EAST 63 STREET,New York,New York,10065,"(40.7619932397, -73.9599982201)",40.76199324,-73.95999822,MN31,Lenox Hill-Roosevelt Island,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,658 Franklin Ave,Brooklyn,New York,11238,"(40.6757450701, -73.9562115797)",40.67574507,-73.95621158,BK61,Crown Heights North,35,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,57th Street - 7th Avenue (Midtown),New York,New York,10019,"(40.7646640002, -73.9806580002)",40.764664,-73.980658,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
BPL,Unknown,61 GLENMORE AVENUE,Brooklyn,New York,11212,"(40.6715266559, -73.9086034329)",40.67152666,-73.90860343,BK81,Brownsville,41,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
Transit Wireless,Unknown,3 Avenue - 138 St [6],Bronx,New York,10454,"(40.8104760003, -73.9261380001)",40.810476,-73.926138,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11365,"(40.74191, -73.80816)",40.74191,-73.80816,QN62,Queensboro Hill,20,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Downtown Brooklyn,Unknown,Boro Hall Park 2 (Pole),Brooklyn,New York,11201,"(40.693069, -73.9900889997)",40.693069,-73.990089,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
LinkNYC - Citybridge,Unknown,710 EAST 138 STREET,Bronx,New York,10454,"(40.8047055204, -73.91293263)",40.80470552,-73.91293263,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
BPL,Unknown,790 BUSHWICK AVENUE,Brooklyn,New York,11221,"(40.6948167, -73.9283986674)",40.6948167,-73.92839867,BK78,Bushwick South,34,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
LinkNYC - Citybridge,Unknown,2282 BROADWAY,New York,New York,10024,"(40.7858130496, -73.9782931195)",40.78581305,-73.97829312,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3 WEST 31 STREET,New York,New York,10001,"(40.7467088697, -73.9862071101)",40.74670887,-73.98620711,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,40-02 73 STREET,Queens,New York,11377,"(40.7466238169, -73.8923556535)",40.74662382,-73.89235565,QN50,Elmhurst-Maspeth,25,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,748 2 AVENUE,New York,New York,10017,"(40.7485785304, -73.9729614105)",40.74857853,-73.97296141,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Beach 86 - Comfort Station and Beach,Queens,New York,11693,"(40.5844850004, -73.8112169996)",40.584485,-73.811217,QN12,Hammels-Arverne-Edgemere,32,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
QPL,Unknown,98-27 METROPOLITAN AVENUE,Forest Hills,New York,11375,"(40.7111856291, -73.8536727785)",40.71118563,-73.85367278,QN17,Forest Hills,29,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
LinkNYC - Citybridge,Unknown,2240 2 AVENUE,New York,New York,10029,"(40.7963604555, -73.938107317)",40.79636046,-73.93810732,MN34,East Harlem North,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,80-05 ROOSEVELT AVENUE,Queens,New York,11372,"(40.7475388201, -73.8854976102)",40.74753882,-73.88549761,QN28,Jackson Heights,25,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,43 EAST 57 STREET,New York,New York,10022,"(40.7623243697, -73.9722031699)",40.76232437,-73.97220317,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1359 SAINT NICHOLAS AVENUE,New York,New York,10033,"(40.84727016, -73.9353621105)",40.84727016,-73.93536211,MN36,Washington Heights South,10,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,400 WEST,New York,New York,10011,"(40.7428031403, -74.00416971)",40.74280314,-74.00416971,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,M,N,R)",Brooklyn,New York,11217,"(40.6836659996, -73.9788099995)",40.683666,-73.97881,BK37,Park Slope-Gowanus,39,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
Transit Wireless,Unknown,174th St,Bronx,New York,10457,"(40.8458999998, -73.9101360005)",40.8459,-73.910136,BX41,Mount Hope,14,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
ALTICEUSA,Unknown,ROOF MOUNTED  BACK LEFT SIDE,Brooklyn,New York,11213,"(40.6740129996, -73.9346979998)",40.674013,-73.934698,BK61,Crown Heights North,36,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,517 COLUMBUS AVENUE,New York,New York,10024,"(40.7856818499, -73.9726287095)",40.78568185,-73.97262871,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1208 1 AVENUE,New York,New York,10065,"(40.7634329604, -73.9590388103)",40.76343296,-73.95903881,MN31,Lenox Hill-Roosevelt Island,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,899 6 AVENUE,New York,New York,10001,"(40.7487722201, -73.9886730297)",40.74877222,-73.98867303,MN17,Midtown-Midtown South,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Playground Area,Queens,New York,11355,"(40.7585800001, -73.8250780004)",40.75858,-73.825078,QN22,Flushing,20,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
SPECTRUM,Unknown,Along Promenade,Brooklyn,New York,11201,"(40.6981030004, -73.9969440001)",40.698103,-73.996944,BK09,Brooklyn Heights-Cobble Hill,33,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Downtown Brooklyn,Unknown,34 Dekalb Ave. (Pole),Brooklyn,New York,11201,"(40.689942, -73.9821580005)",40.689942,-73.982158,BK68,Fort Greene,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
LinkNYC - Citybridge,Unknown,1500 ST. NICHOLAS AVENUE,New York,New York,10033,"(40.8518310698, -73.9317729695)",40.85183107,-73.93177297,MN35,Washington Heights North,10,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,976 1 AVENUE,New York,New York,10022,"(40.7562636, -73.9641818806)",40.7562636,-73.96418188,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,10-58 45 AVENUE,Queens,New York,11101,"(40.747793, -73.9500860005)",40.747793,-73.950086,QN31,Hunters Point-Sunnyside-West Maspeth,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1341 ST NICHOLAS AVENUE,New York,New York,10033,"(40.8468747696, -73.93565287)",40.84687477,-73.93565287,MN36,Washington Heights South,10,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1915 3RD AVENUE,New York,New York,10029,"(40.7912030397, -73.94478351)",40.79120304,-73.94478351,MN33,East Harlem South,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,770 FULTON STREET,Brooklyn,New York,11238,"(40.6845490504, -73.9702246199)",40.68454905,-73.97022462,BK68,Fort Greene,35,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
QPL,Unknown,40-20 BROADWAY,Long Island City,New York,11103,"(40.758529267, -73.9186233204)",40.75852927,-73.91862332,QN70,Astoria,26,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
LinkNYC - Citybridge,Unknown,413 8 AVENUE,New York,New York,10001,"(40.7502267799, -73.9950513698)",40.75022678,-73.99505137,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,159-02 JAMAICA AVENUE,Queens,New York,11433,"(40.7033519999, -73.7999229995)",40.703352,-73.799923,QN61,Jamaica,27,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Beach 116 - Comfort Station and Beach,Queens,New York,11694,"(40.5778710002, -73.8356640004)",40.577871,-73.835664,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,32,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
QPL,Unknown,98-30 57 AVENUE,Corona,New York,11368,"(40.7374341379, -73.8616559293)",40.73743414,-73.86165593,QN25,Corona,21,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
Transit Wireless,Unknown,Houston St (1),New York,New York,10014,"(40.7282509998, -74.0053669994)",40.728251,-74.005367,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
NYPL,Unknown,21-25 ROBIN ROAD,Staten Island,New York,10305,"(40.5958181468, -74.0629804652)",40.59581815,-74.06298047,SI14,Grasmere-Arrochar-Ft. Wadsworth,50,Free,NYC Wifi Hotspot Locations,NYPL
ALTICEUSA,Unknown,CROTONA PARK-CROTONA AV 5/P/S/O CROTONA PARK NORTH,Bronx,New York,10457,"(40.8405259998, -73.8951679995)",40.840526,-73.895168,BX99,park-cemetery-etc-Bronx,17,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,4 PUERTO RICO AVENUE,Brooklyn,New York,11206,"(40.7009900003, -73.9420899997)",40.70099,-73.94209,BK90,East Williamsburg,34,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,125 WORTH STREET,New York,New York,10013,"(40.7154840901, -74.0026667299)",40.71548409,-74.00266673,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,289 MORRIS AVENUE,Bronx,New York,10451,"(40.8120789372, -73.9265896208)",40.81207894,-73.92658962,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2976A 3 AVENUE,Bronx,New York,10455,"(40.8185596503, -73.9143003497)",40.81855965,-73.91430035,BX34,Melrose South-Mott Haven North,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,Fulton St (G),Brooklyn,New York,11217,"(40.6871190004, -73.9753749995)",40.687119,-73.975375,BK68,Fort Greene,35,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,201 E 79ST,New York,New York,10075,"(40.7743499998, -73.9570900002)",40.77435,-73.95709,MN32,Yorkville,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Beach 86- SE Concession Shade Structure and Picnic Area,Queens,New York,11693,"(40.5847269999, -73.8106829998)",40.584727,-73.810683,QN12,Hammels-Arverne-Edgemere,32,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,243 WEST 99 STREET,New York,New York,10025,"(40.7967612497, -73.9706515497)",40.79676125,-73.97065155,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,431 CANAL STREET,New York,New York,10013,"(40.7230133798, -74.0067706497)",40.72301338,-74.00677065,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Chelsea,Unknown,9th between 16th and 17th,New York,New York,10011,"(40.7426075127, -74.0042603013)",40.74260751,-74.0042603,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,CICFreeWiFi
LinkNYC - Citybridge,Unknown,2008 BROADWAY,New York,New York,10023,"(40.7755320001, -73.9819730005)",40.775532,-73.981973,MN14,Lincoln Square,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Indoor - Lobby,New York,New York,10038,"(40.7102499999, -73.9979799999)",40.71025,-73.99798,MN27,Chinatown,1,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,489 3 AVENUE,New York,New York,10016,"(40.745116, -73.9784159994)",40.745116,-73.978416,MN20,Murray Hill-Kips Bay,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,601 WEST 178 STREET,New York,New York,10033,"(40.8475133196, -73.9353630897)",40.84751332,-73.93536309,MN36,Washington Heights South,10,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2737 Broadway,New York,New York,10025,"(40.8004759302, -73.96818631)",40.80047593,-73.96818631,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
